tag,produced,product_name,line
15,2025-12-15 23:55:54.029000+00:00,Ash 4/4 ROL,
16,2025-12-15 23:56:17.175000+00:00,Ash 4/4 ROL,
18,2025-12-16 00:20:03.457000+00:00,Gum 4/4 ROL,
19,2025-12-17 18:11:08.045000+00:00,9.5 Switch Ties,B
20,2025-12-23 01:57:43.098000+00:00,CMat10 10x12,C
24,2026-01-13 18:01:13.309000+00:00,POP12 6x11 (66bf ea),B
25,2026-01-13 18:10:18.334000+00:00,CMat10 10x12,C
27,2026-01-14 02:39:32.217000+00:00,CMat10 6x12,C
28,2026-01-14 02:39:54.981000+00:00,Gum 4/4 ROL,C
29,2026-01-14 02:40:27.929000+00:00,Pine 4/4 FW,C
30,2026-01-22 19:28:07.549000+00:00,Gum 4/4 ROL,C
34,2026-02-17 16:05:34.080000+00:00,CMat10 6x12,B
35,2026-03-09 14:08:42.850000+00:00,CMat12 12x12,B
10230,2021-04-28 00:00:00+00:00,,R
38879,2025-01-03 00:00:00+00:00,,R
38880,2025-01-03 00:00:00+00:00,,R
38886,2025-01-03 00:00:00+00:00,,R
38888,2025-01-28 00:00:00+00:00,,R
38889,2025-01-31 00:00:00+00:00,,R
38890,2025-01-31 00:00:00+00:00,,R
38891,2025-01-31 00:00:00+00:00,,R
38893,2025-01-03 00:00:00+00:00,,R
38901,2025-01-07 00:00:00+00:00,,R
38902,2025-01-16 00:00:00+00:00,,R
38904,2025-01-06 00:00:00+00:00,,R
38938,2025-01-07 00:00:00+00:00,,R
38997,2025-01-09 00:00:00+00:00,,R
38999,2025-01-09 00:00:00+00:00,,R
39000,2025-01-09 00:00:00+00:00,,R
39001,2025-01-09 00:00:00+00:00,,R
39014,2025-01-09 00:00:00+00:00,,R
39015,2025-01-09 00:00:00+00:00,,R
39032,2025-01-09 00:00:00+00:00,,R
39053,2025-01-10 00:00:00+00:00,,R
39064,2025-01-14 00:00:00+00:00,,R
39103,2025-01-15 00:00:00+00:00,,R
39119,2025-01-15 00:00:00+00:00,,R
39126,2025-01-15 00:00:00+00:00,,R
39134,2025-01-15 00:00:00+00:00,,R
